Tag,Excerpt,Wiki
icq,Instant messaging client,
cups,"CUPS (acronym for Common Unix Printing System) is a printing system for computer operating systems like Unix, allows a computer to act as a print server. A computer running CUPS is a host that can accept print jobs from client computers, process them and send them to the correct printer.",
connector,"Use for questions about devices used to keep parts of electrical circuits in contact.  For questions about connection points in diagrams, use the tag for the diagramming application.",
upstart,"Upstart is an event-based replacement for the /sbin/init daemon which handles starting of tasks and services during boot, stopping them during shutdown and supervising them while the system is running.","<p>It was originally developed for the <a href=""http://www.ubuntu.com/"" rel=""nofollow noreferrer"">Ubuntu</a> distribution, but is intended to be suitable for deployment in all Linux distributions as a replacement for the venerable System-V init.</p>
"
readline,"The Gnu readline library is used by other programs, such as shells and interpreters, to provide common line-editing capabilities.",
suspend,Questions about suspending your computer and related power-management questions.,
xlock,,
nvidia-ion,,
nokia-n-series,,
acceleration,,
windows-xp-mode,"Windows XP Mode (XPM) is a virtual machine package for Windows Virtual PC containing a pre-installed, licensed copy of Windows XP Professional with Service Pack 3 as its guest OS.","<p>Windows XP Mode (XPM) is a virtual machine package for Windows Virtual PC containing a pre-installed, licensed copy of Windows XP Professional with Service Pack 3 as its guest OS.</p>
"
earbuds,,
username,,
fresh-install,,
pptp,"PPTP stands for ""Point-to-Point Tunneling Protocol"" and is a method for implementing virtual private networks (VPNs).","<p>PPTP stands for ""Point-to-Point Tunneling Protocol"" and is a method for implementing virtual private networks (VPNs).  It is the VPN implementation that Microsoft has built into their operating systems since Windows 95 and Windows NT 4.0.</p>
"
credentials,"Credentials are proofs of identity that are supplied to a system to obtain access to restricted rights. Usernames and passwords are the most common credentials, but smart cards, fingerprints and other biometrics are also used.",
postscript,,
schematic,,
tmpfs,"tmpfs is a common name for a temporary file storage facility on many Unix-like operating systems. It is intended to appear as a mounted file system, but stored in volatile memory instead of a persistent storage device.",
anti-malware,,
lga775,,
pae,PAE stands for Physical Address Extensions. It's a memory address extension that enables support of greater than 4 GB of physical memory for 32-bit processors.,"<p>PAE is actually supplied by Intel for most 32-bit (IA-32) Intel Pentium Pro and later platforms.</p>

<p><a href=""http://www.microsoft.com/whdc/system/platform/server/pae/paedrv.mspx"" rel=""nofollow noreferrer"">PAE by Microsoft</a><br>
<a href=""http://en.wikipedia.org/wiki/Physical_Address_Extension"" rel=""nofollow noreferrer"">PAE on Wikipedia</a></p>
"
msxml-6,,
msxml,,
file-extension,"A file extension is an optional alphanumeric identifier which comes after the last found period in a file name.  A file extension itself does not define what type of data is in a file, but it does give a hint as to what is *supposed* to be in the file.",
ms-security-essentials,"Microsoft Security Essentials is Microsoft's free anti-virus offering.It runs on Windows XP, Windows Vista and Windows 7, but not on Windows 8, which has a built-in AV component.","<p>Microsoft Security Essentials is an antivirus software product, it is free for home and small business (up to 10 PCs) users, as long as you have a genuine copy of Windows you can install Microsoft Security Essentials. It runs on Windows XP, Windows Vista and Windows 7, <strong>but not on Windows 8</strong>, which has a built-in AV component  <a href=""/questions/tagged/windows-defender"" class=""post-tag"" title=""show questions tagged &#39;windows-defender&#39;"" rel=""tag"">windows-defender</a>.</p>

<p><a href=""http://www.microsoft.com/security_essentials/"" rel=""nofollow noreferrer"">Microsoft Security Essentials home page</a></p>

<p><img src=""https://i.stack.imgur.com/AaSbC.jpg"" alt=""Microsoft Security Essentials Logo""></p>
"
avisynth,,
viewport,,
php.ini,,
rdesktop,"rdesktop is an open-source client for Microsoft's Remote Desktop Protocol, available for Linux, BSD and other Unix-like operating systems.",
api,"API (or Application Programming Interface) is a set of routines and standards set by software for the use of its features for applications that do not intend to engage in the implementation details of software, but only use their services.","<p>In general, the API comprises a number of functions accessible only by programming and enabling use less evident characteristics of the user software traditional.</p>

<p>For example, an operating system has a lot of functions in the API, which allow the programmer to create windows, access files, encrypt data etc.. But the APIs of the operating systems are usually tied to the most essential tasks, such as the manipulation of blocks of memory and device access. These tasks are the core attributes and system rarely are programmable. Another example is geometric design programs that have a specific API to automatically create entities in accordance with standards set by the user.</p>
"
find-and-replace,Operations that locate specific instances of conditions being met and replacing them.,
screen-reader,,
amd-radeon,"Radeon is a brand of graphics adapters produced by AMD, first launched in 2000 by ATI Technologies.",
aix,"AIX (Advanced Interactive eXecutive, pronounced ""ay eye ex"") is a series of proprietary Unix operating systems developed and sold by IBM for several of its computer platforms.","<p>AIX (Advanced Interactive eXecutive, pronounced ""ay eye ex"") is a series of proprietary Unix operating systems developed and sold by IBM for several of its computer platforms. Originally released for the IBM 6150 RISC workstation, AIX now supports or has supported a wide variety of hardware platforms, including the IBM RS/6000 series, and later IBM POWER and PowerPC-based systems, IBM System i, System/370 mainframes, PS/2 personal computers, and the Apple Network Server. AIX is based on <a href=""https://en.wikipedia.org/wiki/UNIX_System_V"" rel=""nofollow noreferrer"">UNIX System V</a> with <a href=""https://en.wikipedia.org/wiki/Berkeley_Software_Distribution"" rel=""nofollow noreferrer"">4.3 BSD</a>-compatible extensions. It is one of four commercial operating systems that are presently certified to The Open Group's <a href=""http://www.unix.org/unix03.html"" rel=""nofollow noreferrer"">UNIX 03 standard</a>. (The others are Mac OS X, Solaris and HP-UX.)</p>

<p>The AIX family of operating systems debuted in 1986, became the standard operating system for the RS/6000 series on its launch in 1990, and is still actively developed by IBM. It is currently supported on IBM Power Systems alongside IBM i and Linux. AIX was the first operating system to utilize journaling file systems, and IBM has continuously enhanced the software with features like processor, disk and network virtualization, dynamic hardware resource allocation (including fractional processor units), live kernel updates and reliability engineering ported from its mainframe designs.</p>

<p>References: </p>

<ul>
<li><a href=""http://en.wikipedia.org/wiki/IBM_AIX"" rel=""nofollow noreferrer"">Wikipedia article</a></li>
<li><a href=""http://www-03.ibm.com/systems/power/software/aix/index.html"" rel=""nofollow noreferrer"">IBM AIX: UNIX on IBM Power Systems</a> on ibm.com</li>
<li><a href=""http://searchenterpriselinux.techtarget.com/definition/System-V"" rel=""nofollow noreferrer"">What is System V (System 5)?</a></li>
<li><a href=""http://www.bsd.org"" rel=""nofollow noreferrer"">BSD Home Page</a></li>
</ul>
"
biometrics,,
bashrc,.bashrc is one of the scripts the Bash shell reads and executes when started as an interactive (but not login) shell.,"<p>When the <em>Bash shell</em> is started as an <strong>interactive (but not login) shell</strong>, the <code>.bashrc</code> script (if it exists) is read and executed.</p>

<p>The <code>--norc</code> option can prevent this, and the <code>--rcfile &lt;file&gt;</code> option will cause Bash to read and execute <code>&lt;file&gt;</code> instead of <code>.bashrc</code>.</p>
"
bots,,
google-talk,"Google Talk is both an instant-messenger program and platform created by Google. The Google Talk app for Windows was be deprecated on February 23, 2015 but as service it's available.",
mathematica,"Mathematica is a computational software program used in scientific, engineering, and mathematical fields and other areas of technical computing. It was conceived by Stephen Wolfram and is developed by Wolfram Research of Champaign, Illinois.","<p><a href=""http://www.wolfram.com/mathematica/"" rel=""nofollow noreferrer"">Mathematica</a> is a computational software program used in scientific, engineering, and mathematical fields and other areas of technical computing. It was conceived by Stephen Wolfram and is developed by <a href=""http://www.wolfram.com/"" rel=""nofollow noreferrer"">Wolfram Research</a> of Champaign, Illinois.</p>

<p><a href=""http://www.wolfram.com/mathematica/features/"" rel=""nofollow noreferrer"">Features of Mathematica</a> include (list taken from <a href=""http://en.wikipedia.org/wiki/Mathematica"" rel=""nofollow noreferrer"">Wikipedia</a>):</p>

<ul>
<li>Elementary mathematical function library</li>
<li>Special mathematical function library</li>
<li>Matrix and data manipulation tools including support for [[sparse array]]s</li>
<li>Support for complex number, Arbitrary precision arithmetic, interval arithmetic and symbolic computation</li>
<li>2D and 3D data and function visualization and animation tools</li>
<li>Solvers for systems of equations, diophantine equations, Ordinary differential equation, Partial differential equation, Differential algebraic equation, Delay differential equation and recurrence relations</li>
<li>Numeric and symbolic tools for discrete and continuous calculus</li>
<li>Multivariate statistics libraries including fitting, hypothesis testing, and probability and expectation calculations on over 100 distributions.</li>
<li>Constrained and unconstrained local and global optimization</li>
<li>Programming language supporting procedural, functional and object oriented constructs</li>
<li>Toolkit for adding user interfaces to calculations and applications</li>
<li>Tools for image processing and morphological image processing including image recognition</li>
<li>Tools for visualizing and analysing graphs</li>
<li>Tools for combinatoric problems</li>
<li>Tools for text mining including regular expressions and semantic analysis</li>
<li>Data mining tools such as cluster analysis, sequence alignment and pattern matching</li>
<li>Number theory function library</li>
<li>Tools for financial calculations including bonds, annuities, derivatives, options etc.</li>
<li>Group theory functions</li>
<li>Libraries for Wavelet analysis on sounds, images and data</li>
<li>Control systems libraries</li>
<li>Continuous and discrete integral transforms</li>
<li>Import and export filters for data, images, video, sound, CAD, GIS document and biomedical formats</li>
<li>Database collection for mathematical, scientific, and socio-economic information and access to WolframAlpha data and computations</li>
<li>Technical word processing including formula editing and automated report generating</li>
<li>Tools for connecting to DLLs.  SQL, Java, .NET, C++, FORTRAN, CUDA, OpenCL and http based systems</li>
<li>Tools for parallel programing</li>
<li>Using both ""free-form linguistic input"" (a natural language user interface) and Mathematica language in notebook when connected to the Internet</li>
</ul>

<p>Also, check the <a href=""http://mathematica.stackexchange.com/"">Mathematica Stack Exchange</a> for more directed help.</p>
"
audacity,"Audacity is a free and open-source digital audio recording and editing application featuring support for a large number of file formats, multitrack mixing and a wide selection of digital effects, with support for more effects via LADSPA (and optionally VST) plug-ins.",
powerpc,"32 and 64bit CPUs used in Macs from 1994 .. 2006.  Also used in PlayStation3, many embedded systems, and some more esoteric *NIX boxes.",
matlab,"MATLAB is a high-level language and interactive programming environment developed by MathWorks. It is the foundation for a number of other tools, including Simulink and various toolboxes that extend the core capabilities.","<p><a href=""http://www.mathworks.com/products/matlab/"" rel=""nofollow noreferrer"">MATLAB</a> is a high-level language and interactive programming environment developed by <a href=""http://www.mathworks.com/"" rel=""nofollow noreferrer"">MathWorks</a>. It is the foundation for a number of other tools, including <a href=""http://www.mathworks.com/products/simulink/"" rel=""nofollow noreferrer"">Simulink</a> and <a href=""http://www.mathworks.com/products/product_listing/index.html"" rel=""nofollow noreferrer"">various toolboxes</a> that extend the core capabilities.</p>

<p>Some informative links that show up quite often in answers:</p>

<ul>
<li><a href=""http://www.mathworks.com/access/helpdesk/help/techdoc/"" rel=""nofollow noreferrer"">Online MATLAB documentation</a> for the most recent version (R2011b)</li>
<li><a href=""http://www.mathworks.com/matlabcentral/fileexchange/"" rel=""nofollow noreferrer"">MATLAB Central File Exchange</a>: a repository of user-contributed MATLAB code</li>
<li><a href=""http://blogs.mathworks.com/"" rel=""nofollow noreferrer"">MATLAB Central blogs</a>: usually updated weekly by MathWorks employees</li>
<li><a href=""http://www.mathworks.com/matlabcentral/answers/"" rel=""nofollow noreferrer"">MATLAB Answers</a>: a collaborative Q&amp;A site about MathWorks products, similar to Stack Overflow</li>
<li><em>comp.soft-sys.matlab</em> Usenet group: can be accessed online through the <a href=""http://www.mathworks.com/matlabcentral/newsreader/"" rel=""nofollow noreferrer"">MATLAB Central Newsreader</a> hosted by MathWorks, or using <a href=""http://groups.google.com/group/comp.soft-sys.matlab"" rel=""nofollow noreferrer"">Google Groups</a></li>
</ul>
"
dropdownlist,A drop down list is a list with predetermined options that expands when clicked to reveal the options available. ,
hostname,"A hostname is a label, or name, that is assigned to a network-connected device and typically used as a human-friendly identifier.","<p>A hostname is a label, or name, that is assigned to a network-connected device and typically used as a human-friendly identifier.</p>
"
tunnel,Tunneling is the act of encapsulating one protocol inside another.,
xsd,XSD is short for XML Schema Definition. It describes a set of rules against which an XML-formatted document can be checked.,
google-earth,"Google Earth is a free program from Google that takes satellite imagery and maps it onto a globe you can spin, zoom into and fly around.","<p>As well as satellite imagery it also displays:</p>

<ul>
<li>National and regional borders.</li>
<li>Places of interest.</li>
<li>User uploaded content (photos and articles).</li>
<li>3D buildings.</li>
<li>Historical data.</li>
</ul>

<p>It also includes <a href=""http://maps.google.com/intl/en_ca/help/maps/streetview/"" rel=""nofollow noreferrer"">Street View</a>.</p>

<p><a href=""http://www.google.co.uk/intl/en_uk/earth/index.html"" rel=""nofollow noreferrer"">Google Earth homepage</a></p>
"
tcsh,tcsh is a Unix command shell based on the C shell (csh),"<p>tcsh is an enhanced but completely compatible version of the Berkeley UNIX C shell.  It is a command language interpreter usable both as an interactive login shell and a shell script command processor. It includes a command-line editor, programmable word completion, spelling correction, a history mechanism, job control and a C-like syntax.</p>
"
quota,,
fluxbox,"Fluxbox is a windowmanager for the X Window System. It is very light on resources and easy to handle but yet full of features to make an easy, and extremely fast, desktop experience.","<p><img src=""https://i.stack.imgur.com/3CMv9.png"" alt=""Fluxbox logo""></p>

<p><strong>Fluxbox</strong> is a windowmanager for the X Window System. It is very light on resources and easy to handle but yet full of features to make an easy, and extremely fast, desktop experience. </p>

<p>Its the user interface has only a taskbar, a pop-up menu accessible by right-clicking on the desktop and minimal support for graphical icons. All configurations are controlled by text files, including the construction of menus and the mapping of keybindings.</p>
"
file-types,,
alt,For questions related to the use of the `alt` keyboard meta-key,"<p>The <strong>Alternate</strong>, <kbd>ALT</kbd> or <kbd>⎇</kbd> keyboard key is a metakey used to access various keyboard shortcuts on Windows, Linux and other operating systems.</p>

<p>For the Macintosh equivalent, please see:</p>

<ul>
<li><a href=""/questions/tagged/option-key"" class=""post-tag"" title=""show questions tagged &#39;option-key&#39;"" rel=""tag"">option-key</a></li>
</ul>

<h3>For more information</h3>

<p><a href=""http://en.wikipedia.org/wiki/Alt_key"" rel=""nofollow noreferrer"">http://en.wikipedia.org/wiki/Alt_key</a></p>
"
out-of-office,,
keyboard-navigation,,
integrated-graphics,"Questions about integrated on-board graphics, use the graphics-card tag for secondary cards instead.",
windows-live-messenger,"Windows Live Messenger (formerly named MSN Messenger) is an Instant messaging client created by Microsoft.  The client has been part of Microsoft's Windows Live set of online services since 2005. It is end of life as of October 2014, and has been replaced by the Skype Network","<p>Windows Live Messenger (formerly named MSN Messenger) is an Instant messaging client created by Microsoft.  Video chat, file-sharing, and games are several features of Windows Live Messenger.  The client has been part of Microsoft's Windows Live set of online services since 2005. It is end of life as of October 2014, and has been replaced by the Skype Network</p>

<p><img src=""https://i.stack.imgur.com/qxS1X.png"" alt=""enter image description here""></p>
"
dosbox,DOSBox is emulator software that emulates an IBM PC compatible computer running MS-DOS. It is intended especially for use with old PC games. DOSBox is free software.,
caller-id,Calling line identification (CID) is a telephone feature which provides a caller's telephone information to a called party.,"<p>Caller ID (CID), also called calling line identification (CLID), is a telephone feature which provides a caller's telephone information to a called party.</p>
"
dvipng,,
vesa,,
netbeans,"The NetBeans IDE is an integrated development environment available for Windows, Mac, Linux, and Solaris. The NetBeans project consists of an open-source IDE and an application platform that enable developers to rapidly create web, enterprise, desktop, and mobile applications using the Java platform, as well as JavaFX, PHP, JavaScript and Ajax, Ruby and Ruby on Rails, Groovy and Grails, and C/C++.",
virtual-host,,
simulation,,
persistent,,
hijack,,
cable-modem,A type of network bridge that provides bi-directional data communication via radio frequency channels on hybrid fibre-coaxial (HFC aka CATV) infrastructure.,
dc++,DC++ is a free and open-source Peer-to-Peer (P2P) file sharing client.,"<p>DC++ is a free and open-source Peer-to-Peer (P2P) file sharing client. It is the main client-side software implementation of the Direct Connect (DC) protocol. Nearly all other DC clients are based on DC++, including those for the GNU/Linux and Mac OS X operating system. DC++ itself is made for Windows. The latest versions support both the DC protocol, as well as the ADC (Advanced Direct Connect) protocol, which is an enhanced version of the original protocol.</p>
"
file-descriptors,,
easy-install,,
dwg,,
autocad,Autodesk AutoCAD software,"<p><a href=""http://en.wikipedia.org/wiki/AutoCAD"" rel=""nofollow noreferrer"">AutoCAD</a> is a CAD software application for 2D and 3D design and drafting. It is developed and sold by Autodesk, Inc.</p>
"
anti-theft,anti-theft refers to software and/or physical hardware designed to protect something from being stolen,
passive-cooling,,
wga,WGA (Windows Genuine Advantage) is an anti-piracy system developed by Microsoft to verify that the copy of the Windows operating system installed on the user's computer is genuine.,
pata,PATA (Parallel ATA) is better known as IDE. IDE/PATA is the predecessor to SATA in terms of storage device controllers.,"<p>Related Tags:</p>

<ul>
<li><a href=""/questions/tagged/hard-drive"" class=""post-tag"" title=""show questions tagged &#39;hard-drive&#39;"" rel=""tag"">hard-drive</a> Parent tag for all hard-drive bus technologies</li>
<li><a href=""/questions/tagged/sata"" class=""post-tag"" title=""show questions tagged &#39;sata&#39;"" rel=""tag"">sata</a> Sister tag for another PC hard-drive technology</li>
</ul>
"
dynamic-disk,"Dynamic disks are a Microsoft technology for allowing special features that normal partitions do not, such as spanning multiple disks and raid.","<p>Dynamic disks are a Microsoft technology for allowing special features that normal partitions do not, such as spanning multiple disks and raid.</p>

<h3>References</h3>

<ul>
<li><a href=""http://msdn.microsoft.com/en-us/library/windows/desktop/aa363785(v=vs.85).aspx"" rel=""nofollow noreferrer"">MSDN</a></li>
<li><a href=""http://en.wikipedia.org/wiki/Logical_Disk_Manager#Basic_volumes_and_dynamic_volumes"" rel=""nofollow noreferrer"">Wikipedia</a></li>
</ul>

<h2>Important questions</h2>

<ul>
<li><a href=""http://superuser.com/questions/7683/which-software-raid-modes-does-each-version-of-windows-7-support"">Which software raid modes does each version of Windows 7 support?</a></li>
<li><a href=""http://superuser.com/questions/65939/converting-dynamic-to-basic-disk"">Converting dynamic to basic disk</a></li>
<li><a href=""http://superuser.com/questions/335064/what-is-simple-volume-good-for"">What is Simple Volume good for?</a></li>
<li><a href=""http://superuser.com/questions/124349/how-do-i-copy-clone-a-dynamic-disk-in-windows-7"">How do I copy/clone a dynamic disk in Windows 7?</a></li>
<li><a href=""http://superuser.com/questions/300371/recover-data-from-a-windows-dynamic-volume-spanned-disk"">Recover data from a Windows Dynamic Volume Spanned Disk</a></li>
</ul>
"
progress,,
osascript,,
trackpoint,,
pocket-pc,,
octave,"GNU Octave is a high-level interpreted language, primarily intended for numerical computations.","<p>GNU Octave is a high-level interpreted language, primarily intended for numerical computations. It provides capabilities for the numerical solution of linear and nonlinear problems, and for performing other numerical experiments. It also provides extensive graphics capabilities for data visualization and manipulation. Octave is normally used through its interactive command line interface, but it can also be used to write non-interactive programs. The Octave language is quite similar to Matlab so that most programs are easily portable.</p>

<p>For more information <a href=""http://www.gnu.org/software/octave/"" rel=""nofollow noreferrer"">visit their site</a>. </p>
"
windows-mobile-6,,
green-computing,,
sql-management-studio,,
monodevelop,MonoDevelop is an IDE primarily designed for C# and other .NET languages.,
ubuntu-9.10,"The 11th major version of Ubuntu, codenamed Karmic Koala.","<p><strong><a href=""https://en.wikipedia.org/wiki/List_of_Ubuntu_releases#Ubuntu_9.10_.28Karmic_Koala.29"" rel=""nofollow noreferrer"">Ubuntu 9.10</a></strong>, codenamed <em>Karmic Koala</em>, is the 11th major version of the <a href=""https://en.wikipedia.org/wiki/Ubuntu_%28operating_system%29"" rel=""nofollow noreferrer"">Ubuntu operating system</a>. Changes in this version include the introduction of the Ubuntu Software Center and Ubuntu One, the use of the <code>ext4</code> filesystem and GRUB 2 bootloader by default, and numerous usability improvements for first-time users.</p>

<p>This version of Ubuntu was declared end-of-life on April 30, 2011.</p>
"
remote-access,Accessing or controlling a computer that you are not physically in front of.,"<p>Remote access is where the user controlling or accessing a computer or server, <a href=""http://en.wikipedia.org/wiki/Remote_desktop_software"" rel=""nofollow noreferrer"">is not physically located</a> in the same place as the computer or terminal they are using.</p>

<ul>
<li><a href=""http://superuser.com/questions/166179/how-to-enable-remote-access-for-another-account-on-mac-remotely-via-ssh"">Enabling remote access for another account on Mac remotely via SSH</a></li>
<li><a href=""http://superuser.com/questions/109399/how-to-remote-desktop-to-a-windows-vista-machine-from-a-redhat-machine"">Remote desktop from a Windows machine into a Redhat box</a></li>
</ul>

<h3>Security implications</h3>

<p>Remote access is a common <a href=""/questions/tagged/security"" class=""post-tag"" title=""show questions tagged &#39;security&#39;"" rel=""tag"">security</a> issue, because it opens doors for an attacker that allow them to do whatever they want on your computer if they get in, without any need to physically access the computer.</p>

<h2>Applications and  methods</h2>

<ul>
<li><a href=""/questions/tagged/logmein"" class=""post-tag"" title=""show questions tagged &#39;logmein&#39;"" rel=""tag"">logmein</a></li>
<li><a href=""/questions/tagged/remote-desktop"" class=""post-tag"" title=""show questions tagged &#39;remote-desktop&#39;"" rel=""tag"">remote-desktop</a></li>
<li><a href=""/questions/tagged/ssh"" class=""post-tag"" title=""show questions tagged &#39;ssh&#39;"" rel=""tag"">ssh</a></li>
<li><a href=""/questions/tagged/teamviewer"" class=""post-tag"" title=""show questions tagged &#39;teamviewer&#39;"" rel=""tag"">teamviewer</a></li>
<li><a href=""/questions/tagged/vnc"" class=""post-tag"" title=""show questions tagged &#39;vnc&#39;"" rel=""tag"">vnc</a></li>
</ul>
"
reply,,
xulrunner,,
xul,,
blacklist,,
netscreen,,
spanish,,
outlook-web-access,"Also known as Outlook Web App or OWA, allows to access e-mails based on a Microsoft Exchange Server. ","<p>Outlook Web App simulates the look and feel of the Outlook desktop application. It provides access to email, calendar and contact management.</p>

<p>This tag should not be used regarding problems with outlook.com.</p>
"
computer-name,,
installshield,InstallShield is a proprietary software tool provided by Flexera Inc. for creating installers or software packages. InstallShield is primarily used for installing software for Microsoft Windows desktop and server platforms,
phpbb,,
charts,"Graphs, charts and other graphical methods for showing data and their relationships.","<p>A chart is a graphical representation of data and the relationships within that data. Among other purposes, charts can be used to compare two or more types of data or visually show the data against metrics given on an axis. There are many kinds of charts, including bar charts, pie charts, line charts, scatterplots, and Gantt charts.</p>
"
axis,An axis is a reference line or plane used to denote referential measurements in relation to the data presented.,"<p>An axis (plural: axes) is normally used in <a href=""/questions/tagged/charts"" class=""post-tag"" title=""show questions tagged &#39;charts&#39;"" rel=""tag"">charts</a> to show the metrics of which the chart's data is being shown. Normally there are two or three axes, but this is not a rule. Common axes include time, weight, progress or direction.</p>
"
floppy,The floppy disk is an obsolescent magnetic storage medium.,"<p>The floppy disk is an obsolescent magnetic storage medium.</p>

<p>Came in several sizes, including 8"", 5.25"" (both obsolete), and 3.5"", which remained in use for many years.</p>
"
registrar,,
carriage-return,,
smartdraw,,
ldap,LDAP is Lightweight Directory Access Protocol. ,"<p>The <a href=""http://tools.ietf.org/html/rfc4511"" rel=""nofollow noreferrer"">Lightweight Directory Access Protocol</a> is an application protocol for reading and editing directories that follow the <a href=""http://tools.ietf.org/html/rfc4512"" rel=""nofollow noreferrer"">Directory Information Model</a> over an IP network using unsecured TCP/IP, TLS or SSL. LDAP is a binary protocol described in terms of <a href=""http://en.wikipedia.org/wiki/Abstract_Syntax_Notation_One"" rel=""nofollow noreferrer"">ASN.1</a> and transmitted using ASN.1 Basic Encoding Rules (<a href=""http://en.wikipedia.org/wiki/Basic_Encoding_Rules"" rel=""nofollow noreferrer"">BER</a>).</p>

<p>A directory is a hierarchical collection of records known as a Directory Information Base, or when visualized, as a Directory Information Tree. The directory model should be visualized as an upside-down tree, much like a UNIX file-system. The root of the Directory Information Tree is known as the <code>prefix</code> or <code>namingContext</code>. The namingContext, supported versions of the protocol, supported features and supported controls (operation semantics modifiers) and other information can be discovered by querying the <a href=""http://ff1959.wordpress.com/2011/04/11/the-root-dse-is-that-entry-with-zero-rdns-and-contains-information-about-the-directory-server/"" rel=""nofollow noreferrer"">root DSE</a>, though the information might be protected by access controls.</p>

<p>Clients (Directory User Agents) issue requests to the directory server (Directory System Agent) and the directory server returns an appropriate response, which could be success (which might include requested entries from the Directory Information Tree in the case of a search), or an indication of success or failure of a search, add, modify, delete, moddn (rename) or extended operation. Controls might be used to alter the semantics of a request, for example, a <code>sort control</code> might be included with a search request to sort the returned entries (known as a server-side sort). Without the inclusion of the sort control in the search request, entries returned from search operations are not ordered, and must not be ordered. Clients must not expect that entries are ordered in any way. </p>

<p>Modern directory servers support a high-speed replication mechanism which is not defined by the standard, though there have been some attempts at defining a replication standard. Therefore, replication and the protocol used for replication is vendor-specific. If data must be synchronized between directory servers from different vendors, a synchronization device must be used.</p>

<p>Most modern programming languages have an LDAP SDK, including Java, PHP, Perl, C/C++, and others. Directory Server software usually comes equipped with a set of command line tools such as <code>ldapsearch</code>, <code>ldapmodify</code>, and others.</p>

<p>Directory Information Trees accessed by the LDAP protocol are used in authentication and authorization applications, configuration storage, profile storage, public-key infrastructure and other applications requiring:</p>

<ul>
<li>speed of access</li>
<li>a small, light-weight protocol</li>
<li>A simple programming model</li>
<li>easily configured replication, redundancy, and failover</li>
</ul>

<p>Questions that are specific to Active Directory should not be tagged with the LDAP tag unless the question is specifically related to the protocol or the Directory Information Model. Active Directory provides an LDAP interface, but that interface does not fully implement the LDAP standard, and deviates from it in important ways. Therefore, there are questions that can be answered specific to Active Directory that are not applicable to standards-compliant LDAP servers and <em>vice versa</em>. Correctly tagging a questions will result in a higher probability of an accurate, timely response.</p>
"
lifespan,,
ditto,Ditto is an extension to the standard windows clipboard. It saves each item placed on the clipboard allowing access to any of those items at a later time. ,"<p>For more information, see the <a href=""http://ditto-cp.sourceforge.net/"" rel=""nofollow noreferrer"">Ditto website</a>.</p>
"
busybox,,
iis-7,Microsoft IIS (Internet Information Services) version 7.,"<p>Microsoft IIS (Internet Information Services) version 7.</p>
"
sshfs,SSHFS is a tool that uses SSH to enable mounting of a remote filesystem on a local machine.,
openoffice-calc,OpenOffice's spreadsheet application. Tag questions about macro programming or formulas with macros or worksheet-function respectively,"<p><a href=""/questions/tagged/openoffice"" class=""post-tag"" title=""show questions tagged &#39;openoffice&#39;"" rel=""tag"">openoffice</a>'s spreadsheet component. Analogous to <a href=""/questions/tagged/microsoft-excel"" class=""post-tag"" title=""show questions tagged &#39;microsoft-excel&#39;"" rel=""tag"">microsoft-excel</a>.</p>

<p><a href=""http://www.openoffice.org/"" rel=""nofollow noreferrer"">Apache OpenOffice</a> is an open source office productivity suite.</p>

<p>More specific tags include <a href=""/questions/tagged/macros"" class=""post-tag"" title=""show questions tagged &#39;macros&#39;"" rel=""tag"">macros</a> for scripting and <a href=""/questions/tagged/worksheet-function"" class=""post-tag"" title=""show questions tagged &#39;worksheet-function&#39;"" rel=""tag"">worksheet-function</a> for formulas.</p>
"
xargs,utility in Unix-like operating systems for passing large numbers of arguments to programs that can only take a small number of arguments,
udp,"UDP stands for User Datagram Protocol. With UDP applications can send messages (datagrams) to other hosts on a network without requiring prior communications to set up special transmission channels or data paths.
","<p>Because UDP doesn't rely on handshaking to guarantee that packets arrive and in order it can be seen as an unreliable protocol, but for real time systems where acting on the data immediately is the most important consideration not having to wait for delayed packets is a distinct advantage.</p>

<p>UDP is just one communications protocol on the web. Others include:</p>

<ul>
<li>Transmission Control Protocol (TCP) <a href=""/questions/tagged/tcp"" class=""post-tag"" title=""show questions tagged &#39;tcp&#39;"" rel=""tag"">tcp</a></li>
<li>Internet Control Message Protocol (ICMP) <a href=""/questions/tagged/icmp"" class=""post-tag"" title=""show questions tagged &#39;icmp&#39;"" rel=""tag"">icmp</a></li>
<li>Hypertext Transfer Protocol (HTTP) <a href=""/questions/tagged/http"" class=""post-tag"" title=""show questions tagged &#39;http&#39;"" rel=""tag"">http</a></li>
<li>Post Office Protocol (POP3) <a href=""/questions/tagged/pop3"" class=""post-tag"" title=""show questions tagged &#39;pop3&#39;"" rel=""tag"">pop3</a></li>
<li>File Transfer Protocol (FTP) <a href=""/questions/tagged/ftp"" class=""post-tag"" title=""show questions tagged &#39;ftp&#39;"" rel=""tag"">ftp</a></li>
<li>Internet Message Access Protocol (IMAP) <a href=""/questions/tagged/imap"" class=""post-tag"" title=""show questions tagged &#39;imap&#39;"" rel=""tag"">imap</a></li>
</ul>

<p><a href=""http://en.wikipedia.org/wiki/User_Datagram_Protocol"" rel=""nofollow noreferrer"">UDP on Wikipedia</a></p>
"
webex,,
acer-aspire-one,"Acer Aspire One is a line of subcompact notebook computers, or netbooks from Acer Inc.",
